rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
-44.332469569999994,82895,36,0.5078109375000002,2289,816,113.81,18223,1.079482913017273,0.00025
-44.239127759999995,83402,36,0.5048006250000001,2288,820,114.7,18350,2.410963773727417,0.00025
-44.21587,83841,36,0.5021940625,2286,824,115.02,18460,2.45005464553833,0.00025
-45.25539435999998,84258,36,0.4997181250000001,2285,828,115.04,18564,1.675825595855713,0.00025
-44.10279513,84729,37,0.49692156249999997,2284,832,115.2,18682,9.655959129333496,0.00025
-43.410898380000006,85253,37,0.4938103125000002,2282,836,116.69,18813,1.840675711631775,0.00025
-42.31207278999998,85605,37,0.49172031250000026,2280,840,115.91,18901,1.5546090602874756,0.00025
-40.79231778,86020,37,0.48925625000000017,2279,844,116.49,19004,2.6691203117370605,0.00025
-40.1087603,86477,37,0.4865428125000001,2278,848,117.19,19119,6.368440628051758,0.00025
-38.37868331000001,87251,38,0.4819471875,2276,852,121.05,19312,1.1867799758911133,0.00025
-37.55271672,88041,38,0.47725656250000015,2273,856,124.59,19510,1.553142786026001,0.00025
-37.82012466,88616,38,0.47384250000000017,2272,860,125.03,19653,1.2814834117889404,0.00025
-37.321269349999994,89058,39,0.47121812500000015,2271,864,125.33,19764,3.0005674362182617,0.00025
-36.236947889999996,89554,39,0.46827312500000007,2268,868,125.87,19888,1.7421725988388062,0.00025
-36.700159510000006,90070,39,0.46520937500000004,2267,872,126.39,20017,18.360830307006836,0.00025
-33.72121558,91109,40,0.4590403125000002,2264,876,132.65,20277,2.3697073459625244,0.00025
-33.208059909999996,91534,40,0.45651687500000004,2261,880,132.72,20383,2.3407886028289795,0.00025
-32.408247380000006,92785,41,0.44908906250000014,2258,884,135.07,20696,2.042750120162964,0.00025
-31.57916365,93343,41,0.4457759375000001,2257,888,135.62,20835,2.3996388912200928,0.00025
-29.716017259999997,93917,41,0.4423678125000001,2254,892,137.39,20979,1.8671280145645142,0.00025
-29.15303785,94401,41,0.4394940625000001,2253,896,138.08,21100,18.171052932739258,0.00025
-27.51497709,95739,42,0.4315496874999999,2249,900,147.49,21434,3.0787549018859863,0.00025
-28.12432793,97028,43,0.4238962500000002,2247,904,155.98,21756,2.0772745609283447,0.00025
-26.32001244,98277,43,0.41648031250000017,2243,908,163.93,22069,0.6945801973342896,0.00025
-23.793592290000003,98715,44,0.41387968750000026,2242,912,164.45,22178,3.212571382522583,0.00025
-22.304711559999998,100024,44,0.4061075000000002,2239,916,171.29,22505,3.56190824508667,0.00025
-20.632574679999998,100655,44,0.40236093750000024,2237,920,172.53,22663,1.8920780420303345,0.00025
-19.531691130000002,101118,45,0.39961187500000006,2237,924,172.77,22779,3.9004769325256348,0.00025
-17.14690462,101533,45,0.3971478125,2236,928,172.75,22883,1.0654782056808472,0.00025
-14.763513000000003,102949,46,0.3887403125000001,2232,932,182.2,23237,4.8020339012146,0.00025
-12.776489060000003,104373,46,0.3802853125,2228,936,191.2,23593,4.804163455963135,0.00025
-10.95884942,104848,47,0.37746500000000005,2227,940,192.43,23711,3.3836867809295654,0.00025
-9.953034139999998,105335,47,0.37457343750000005,2226,944,193.15,23833,2.274625539779663,0.00025
-9.539065120000002,107059,48,0.3643371875,2222,948,205.82,24264,2.7784175872802734,0.00025
-9.73849164,109259,49,0.3512746875000001,2218,952,220.08,24814,2.9271082878112793,0.00025
-9.88272505,113259,51,0.3275246875000001,2210,956,252.18,25814,3.381401300430298,0.00025
-8.317223839999999,115506,52,0.3141831250000001,2206,960,268.9,26376,9.084823608398438,0.00025
-7.780393759999999,118837,54,0.2944053125000001,2200,964,297.79,27209,1.391371250152588,0.00025
-8.167323029999999,121125,55,0.2808203125000003,2195,968,315.71,27781,7.517573833465576,0.00025
-8.228190490000001,125125,57,0.25707031250000023,2189,972,350.55,28781,2.5185089111328125,0.00025
-8.608138109999999,128246,58,0.23853937500000022,2183,976,371.37,29561,3.315412998199463,0.00025
-8.966850130000001,132246,60,0.21478937500000017,2178,980,407.12,30561,5.141994953155518,0.00025
-8.30448425,136246,62,0.19103937500000012,2171,984,434.61,31561,3.1935548782348633,0.00025
