rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
-10.330588759999998,1028,81,2219,787.13,180246,0.05,42561,0.00025,0.5101743936538696
-13.17210599,1032,83,2194,812.97,184246,0.05,43561,0.00025,0.7898955941200256
-15.116348230000003,1036,86,2186,838.73,188246,0.05,44561,0.00025,0.40689659118652344
-16.40821347,1040,88,2182,873.98,192246,0.05,45561,0.00025,2.5241446495056152
-16.91082888,1044,90,2179,909.11,196246,0.05,46561,0.00025,1.6826238632202148
-17.839635,1048,91,2175,925.92,199651,0.05,47412,0.00025,2.539637804031372
-18.11966683,1052,93,2172,943.92,203651,0.05,48412,0.00025,1.898417592048645
-22.26901164,1056,95,2170,934.69,206728,0.05,49181,0.00025,0.6839405298233032
-21.24566169,1060,96,2167,942.09,209715,0.05,49928,0.00025,6.878971099853516
-20.9732261,1064,98,2163,937.21,212558,0.05,50639,0.00025,2.358696222305298
-22.470501239999997,1068,100,2160,954.33,216558,0.05,51639,0.00025,0.8057944774627686
-14.779689599999998,1072,101,2158,939.95,219120,0.05,52279,0.00025,1.342271327972412
-15.47164856,1076,103,2155,940.59,222305,0.05,53076,0.00025,0.5095197558403015
-11.901396350000002,1080,104,2153,932.45,225491,0.05,53872,0.00025,0.7089700698852539
-11.55318117,1084,106,2151,932.45,229491,0.05,54872,0.00025,1.8242828845977783
-10.31822921,1088,108,2148,923.21,232567,0.05,55641,0.00025,2.521390199661255
-7.819332310000001,1092,109,2146,918.71,236117,0.05,56529,0.00025,1.5663846731185913
-8.39946412,1096,111,2144,918.71,240117,0.05,57529,0.00025,3.714987277984619
-8.34753158,1100,113,2141,918.71,244117,0.05,58529,0.00025,0.8816823363304138
-10.050489770000002,1104,115,2140,910.22,247268,0.05,59316,0.00025,0.4201638698577881
-10.19652011,1108,117,2138,910.22,251268,0.05,60316,0.00025,0.41465163230895996
-10.18248474,1112,119,2135,910.22,255268,0.05,61316,0.00025,0.863844096660614
-10.147739369999998,1116,121,2134,910.22,259268,0.05,62316,0.00025,0.47387179732322693
-11.13281898,1120,123,2131,910.22,263268,0.05,63316,0.00025,0.3245110511779785
-10.170189089999997,1124,125,2129,910.22,267268,0.05,64316,0.00025,1.1935834884643555
-10.816770470000002,1128,127,2127,910.22,271268,0.05,65316,0.00025,0.3393433094024658
-9.715041560000001,1132,129,2126,910.22,275268,0.05,66316,0.00025,0.23806241154670715
-9.398422949999999,1136,131,2124,910.22,279268,0.05,67316,0.00025,0.2140710949897766
-9.093905059999999,1140,133,2123,910.22,283268,0.05,68316,0.00025,0.26970866322517395
-8.706635330000001,1144,135,2121,910.22,287268,0.05,69316,0.00025,1.7822184562683105
-7.51625542,1148,137,2120,916.17,291268,0.05,70316,0.00025,0.9310919046401978
-7.446083109999998,1152,139,2118,916.17,295268,0.05,71316,0.00025,0.1468125432729721
-2.56418945,1156,141,2116,925.4,299268,0.05,72316,0.00025,0.2019209861755371
-3.513430570000001,1160,143,2115,935.53,303268,0.05,73316,0.00025,0.13254639506340027
-3.23459297,1164,145,2113,947.1,307268,0.05,74316,0.00025,0.10083094239234924
-1.6554029900000007,1168,147,2112,947.1,311268,0.05,75316,0.00025,0.16547822952270508
-5.090843239999999,1172,148,2111,953.17,314437,0.05,76109,0.00025,0.12214168161153793
-3.594256229999999,1176,150,2110,952.38,317543,0.05,76885,0.00025,0.13157649338245392
-6.308258049999998,1180,152,2108,960.52,321543,0.05,77885,0.00025,0.0888623297214508
-6.327555229999998,1184,154,2107,960.52,325543,0.05,78885,0.00025,0.10391471534967422
-4.542926349999999,1188,156,2107,965.58,329125,0.05,79781,0.00025,0.10497357696294785
-4.709682,1192,158,2105,967.32,332849,0.05,80712,0.00025,0.4574480652809143
3.521008009999999,1196,159,2104,950.6,335177,0.05,81294,0.00025,0.8582944273948669
