time/fps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
2283,-32.408247380000006,884,40,92785,0.44908906250000014,135.07,2.042750120162964,20696,0.00025
2282,-31.57916365,888,40,93343,0.4457759375000001,135.62,2.3996388912200928,20835,0.00025
2280,-29.716017259999997,892,41,93917,0.4423678125000001,137.39,1.8671280145645142,20979,0.00025
2278,-29.15303785,896,41,94401,0.4394940625000001,138.08,18.171052932739258,21100,0.00025
2275,-27.51497709,900,42,95739,0.4315496874999999,147.49,3.0787549018859863,21434,0.00025
2270,-28.12432793,904,42,97028,0.4238962500000002,155.98,2.0772745609283447,21756,0.00025
2267,-26.32001244,908,43,98277,0.41648031250000017,163.93,0.6945801973342896,22069,0.00025
2266,-23.793592290000003,912,43,98715,0.41387968750000026,164.45,3.212571382522583,22178,0.00025
2262,-22.304711559999998,916,44,100024,0.4061075000000002,171.29,3.56190824508667,22505,0.00025
2260,-20.632574679999998,920,44,100655,0.40236093750000024,172.53,1.8920780420303345,22663,0.00025
2258,-19.531691130000002,924,44,101118,0.39961187500000006,172.77,3.9004769325256348,22779,0.00025
2257,-17.14690462,928,44,101533,0.3971478125,172.75,1.0654782056808472,22883,0.00025
2253,-14.763513000000003,932,45,102949,0.3887403125000001,182.2,4.8020339012146,23237,0.00025
2249,-12.776489060000003,936,46,104373,0.3802853125,191.2,4.804163455963135,23593,0.00025
2248,-10.95884942,940,46,104848,0.37746500000000005,192.43,3.3836867809295654,23711,0.00025
2246,-9.953034139999998,944,46,105335,0.37457343750000005,193.15,2.274625539779663,23833,0.00025
2242,-9.539065120000002,948,47,107059,0.3643371875,205.82,2.7784175872802734,24264,0.00025
2237,-9.73849164,952,48,109259,0.3512746875000001,220.08,2.9271082878112793,24814,0.00025
2228,-9.88272505,956,50,113259,0.3275246875000001,252.18,3.381401300430298,25814,0.00025
2223,-8.317223839999999,960,51,115506,0.3141831250000001,268.9,9.084823608398438,26376,0.00025
2215,-7.780393759999999,964,53,118837,0.2944053125000001,297.79,1.391371250152588,27209,0.00025
2210,-8.167323029999999,968,54,121125,0.2808203125000003,315.71,7.517573833465576,27781,0.00025
2203,-8.228190490000001,972,56,125125,0.25707031250000023,350.55,2.5185089111328125,28781,0.00025
2197,-8.608138109999999,976,58,128246,0.23853937500000022,371.37,3.315412998199463,29561,0.00025
2190,-8.966850130000001,980,60,132246,0.21478937500000017,407.12,5.141994953155518,30561,0.00025
2183,-8.30448425,984,62,136246,0.19103937500000012,434.61,3.1935548782348633,31561,0.00025
2176,-7.921494779999998,988,64,140246,0.16728937500000007,469.03,0.5609472990036011,32561,0.00025
2170,-8.858600789999999,992,66,144246,0.14353937500000014,503.29,3.3740010261535645,33561,0.00025
2163,-7.89340658,996,68,148246,0.11978937500000009,538.45,1.6455076932907104,34561,0.00025
2156,-8.30663333,1000,70,152246,0.09603937500000037,565.07,2.7859301567077637,35561,0.00025
2150,-7.11872377,1004,72,156246,0.07228937500000032,592.18,7.955908298492432,36561,0.00025
2144,-8.26172132,1008,74,160246,0.05,619.69,2.4478089809417725,37561,0.00025
2138,-8.61871161,1012,76,164246,0.05,655.31,2.9826464653015137,38561,0.00025
2132,-9.058780389999999,1016,78,168246,0.05,682.22,2.118985652923584,39561,0.00025
2126,-9.392388089999999,1020,80,172246,0.05,715.91,2.374286413192749,40561,0.00025
2121,-9.63374303,1024,83,176246,0.05,751.28,0.534118115901947,41561,0.00025
2116,-10.330588759999998,1028,85,180246,0.05,787.13,0.5101743936538696,42561,0.00025
2108,-13.17210599,1032,87,184246,0.05,812.97,0.7898955941200256,43561,0.00025
2103,-15.116348230000003,1036,89,188246,0.05,838.73,0.40689659118652344,44561,0.00025
2099,-16.40821347,1040,91,192246,0.05,873.98,2.5241446495056152,45561,0.00025
2095,-16.91082888,1044,93,196246,0.05,909.11,1.6826238632202148,46561,0.00025
2091,-17.839635,1048,95,199651,0.05,925.92,2.539637804031372,47412,0.00025
2088,-18.11966683,1052,97,203651,0.05,943.92,1.898417592048645,48412,0.00025
2085,-22.26901164,1056,99,206728,0.05,934.69,0.6839405298233032,49181,0.00025
2081,-21.24566169,1060,100,209715,0.05,942.09,6.878971099853516,49928,0.00025
2077,-20.9732261,1064,102,212558,0.05,937.21,2.358696222305298,50639,0.00025
2073,-22.470501239999997,1068,104,216558,0.05,954.33,0.8057944774627686,51639,0.00025
2070,-14.779689599999998,1072,105,219120,0.05,939.95,1.342271327972412,52279,0.00025
2067,-15.47164856,1076,107,222305,0.05,940.59,0.5095197558403015,53076,0.00025
2064,-11.901396350000002,1080,109,225491,0.05,932.45,0.7089700698852539,53872,0.00025
2062,-11.55318117,1084,111,229491,0.05,932.45,1.8242828845977783,54872,0.00025
2059,-10.31822921,1088,112,232567,0.05,923.21,2.521390199661255,55641,0.00025
2057,-7.819332310000001,1092,114,236117,0.05,918.71,1.5663846731185913,56529,0.00025
2054,-8.39946412,1096,116,240117,0.05,918.71,3.714987277984619,57529,0.00025
2052,-8.34753158,1100,118,244117,0.05,918.71,0.8816823363304138,58529,0.00025
2050,-10.050489770000002,1104,120,247268,0.05,910.22,0.4201638698577881,59316,0.00025
2048,-10.19652011,1108,122,251268,0.05,910.22,0.41465163230895996,60316,0.00025
2045,-10.18248474,1112,124,255268,0.05,910.22,0.863844096660614,61316,0.00025
2028,-10.147739369999998,1116,127,259268,0.05,910.22,0.47387179732322693,62316,0.00025
2024,-11.13281898,1120,130,263268,0.05,910.22,0.3245110511779785,63316,0.00025
2022,-10.170189089999997,1124,132,267268,0.05,910.22,1.1935834884643555,64316,0.00025
2021,-10.816770470000002,1128,134,271268,0.05,910.22,0.3393433094024658,65316,0.00025
2019,-9.715041560000001,1132,136,275268,0.05,910.22,0.23806241154670715,66316,0.00025
2017,-9.398422949999999,1136,138,279268,0.05,910.22,0.2140710949897766,67316,0.00025
2016,-9.093905059999999,1140,140,283268,0.05,910.22,0.26970866322517395,68316,0.00025
2014,-8.706635330000001,1144,142,287268,0.05,910.22,1.7822184562683105,69316,0.00025
2012,-7.51625542,1148,144,291268,0.05,916.17,0.9310919046401978,70316,0.00025
2011,-7.446083109999998,1152,146,295268,0.05,916.17,0.1468125432729721,71316,0.00025
2009,-2.56418945,1156,148,299268,0.05,925.4,0.2019209861755371,72316,0.00025
2008,-3.513430570000001,1160,150,303268,0.05,935.53,0.13254639506340027,73316,0.00025
2006,-3.23459297,1164,153,307268,0.05,947.1,0.10083094239234924,74316,0.00025
2005,-1.6554029900000007,1168,155,311268,0.05,947.1,0.16547822952270508,75316,0.00025
2004,-5.090843239999999,1172,156,314437,0.05,953.17,0.12214168161153793,76109,0.00025
2003,-3.594256229999999,1176,158,317543,0.05,952.38,0.13157649338245392,76885,0.00025
2001,-6.308258049999998,1180,160,321543,0.05,960.52,0.0888623297214508,77885,0.00025
2000,-6.327555229999998,1184,162,325543,0.05,960.52,0.10391471534967422,78885,0.00025
1999,-4.542926349999999,1188,164,329125,0.05,965.58,0.10497357696294785,79781,0.00025
1998,-4.709682,1192,166,332849,0.05,967.32,0.4574480652809143,80712,0.00025
1996,3.521008009999999,1196,167,335177,0.05,950.6,0.8582944273948669,81294,0.00025
1995,8.440417099999996,1200,169,338325,0.05,942.08,0.10220210999250412,82081,0.00025
