rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
1000.0,81,76,1000.0,165888,2178,0.00010366708112883317,-11.146010398864746,0.0045537837,-0.001058420867775567,0.030373461544513702,0.0583984375,-0.013733326457440853,0.0003,800,0.231521874666214,0.2,,
1000.0,82,76,1000.0,167936,2182,8.611558826032706e-07,-11.759068489074707,0.0034848752,3.48655172274448e-05,0.06339341402053833,0.05693359375,0.004367976915091276,0.0003,810,0.22318509221076965,0.2,,
1000.0,83,77,1000.0,169984,2185,1.4800239114265424e-07,-8.67167854309082,0.0069649853,-0.0027744278791942633,0.10140344947576523,0.05283203125,0.0017427854472771287,0.0003,820,0.21489036083221436,0.2,,
,,,,170000,,1.670068201065078e-07,-10.058698654174805,0.0051315413,0.0021732369335950353,0.13146371878683566,0.071044921875,-0.0022129733115434647,0.0003,830,0.2095113843679428,0.2,1000.0,1000.0
1000.0,84,79,1000.0,172032,2170,,,,,,,,,,,,,
1000.0,85,80,1000.0,174080,2174,2.1679636006410873e-07,-11.891098022460938,0.008540417,0.0030072904519329313,0.1604861319065094,0.07734375,-0.004243718925863504,0.0003,840,0.2026691734790802,0.2,,
1000.0,86,80,1000.0,176128,2177,0.0003820473163244742,-10.41861343383789,0.006569412,-0.0013626195766846649,0.19347215220332145,0.060791015625,0.02503281831741333,0.0003,850,0.19634869694709778,0.2,,
1000.0,87,81,1000.0,178176,2181,8.80547113126795e-05,-1.3212015628814697,0.0068849027,0.0056797394281602465,0.21581126227974892,0.142822265625,-0.0039056153036653996,0.0003,860,0.1934615820646286,0.2,,
,,,,180000,,3.9298229239648206e-07,-3.345366954803467,0.006138465,0.0006594773018150591,0.23367374055087567,0.078662109375,0.024259407073259354,0.0003,870,0.19041353464126587,0.2,1000.0,1000.0
1000.0,88,83,1000.0,180224,2165,,,,,,,,,,,,,
1000.0,89,83,1000.0,182272,2170,2.0767300554780376e-07,-2.260352849960327,0.015726488,0.0021195609675487503,0.24598137624561786,0.1013671875,-0.044013191014528275,0.0003,880,0.18837696313858032,0.2,,
1000.0,90,84,1000.0,184320,2173,2.0571608558839216e-07,-3.5596446990966797,0.0071400395,0.0018981443579832557,0.2623567648231983,0.102294921875,-0.001954788574948907,0.0003,890,0.1841398924589157,0.2,,
