time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
1844,86,-11.93490132,1023.84,159744,78,0.0003,-0.0081627695588395,0.8887229561805725,0.5941150188446045,770,-3.6096537820994854,0.1240234375,14.693651855364442,2.55781888961792,0.2,0.011041989,,
1846,87,-9.251028660000005,1039.35,161792,79,0.0003,-0.009417052553908433,0.3962356448173523,0.5926064252853394,780,-3.5856656514108183,0.165185546875,36.079554171487686,14.32470417022705,0.2,0.016524814,,
1849,88,-5.899882480000001,1038.67,163840,80,0.0003,-0.007834048420772888,0.5290979146957397,0.5925641059875488,790,-3.577479737997055,0.2111328125,0.8650946713984012,0.1564643383026123,0.2,0.015338324,,
1851,89,-4.157646940000001,1038.67,165888,81,0.0003,-0.008720488354447298,0.8509131669998169,0.5925387144088745,800,-3.576870001107454,0.174169921875,5.230870356038213,2.4350814819335938,0.2,0.013872129,,
1853,90,-3.877932650000001,993.99,167936,82,0.0003,-0.010036747429694515,0.7474627494812012,0.5858169198036194,810,-3.5591504842042925,0.197119140625,0.665380930248648,0.24594703316688538,0.2,0.0131994765,,
1856,91,-1.1722386200000023,1002.01,169984,83,0.0003,-0.008940702817926648,0.9074625968933105,0.5856245756149292,820,-3.5352210745215418,0.109033203125,18.58009311184287,3.817896842956543,0.2,0.007851649,,
1859,92,1.4134395899999987,1013.66,172032,84,0.0003,-0.003800932370359078,0.9350032806396484,0.5861058235168457,830,-3.5351936422288417,0.061865234375,19.710732460394503,5.48464298248291,0.2,0.0091184145,,
1861,93,2.2926551299999978,997.04,174080,85,0.0003,-0.011879057742771693,0.48176079988479614,0.5853365063667297,840,-3.5343301989138127,0.122705078125,7.186220790445804,1.4211827516555786,0.2,0.0129699735,,
,,,,175000,,0.0003,-0.008920556391240097,0.8279051780700684,0.5859794616699219,850,-3.533749008923769,0.0677734375,51.44461217522621,7.346201419830322,0.2,0.006592462,1600.0,254.84228337203385
1827,96,5.048288139999999,1012.25,176128,86,,,,,,,,,,,,,
1829,97,6.08683622,997.49,178176,87,0.0003,-0.0113081871488248,-0.3811115026473999,0.5856364369392395,860,-3.5345006048679353,0.1626953125,4.016602955013513,1.922216534614563,0.2,0.0113002565,,
1832,98,7.595307279999998,997.49,180224,88,0.0003,-0.005657845068344614,0.8396755456924438,0.5864014625549316,870,-3.534714914858341,0.082470703125,17.9671623788774,2.5490100383758545,0.2,0.0073505733,,
1834,99,10.593937569999998,997.49,182272,89,0.0003,-0.010589104612881784,-0.007310032844543457,0.5850809216499329,880,-3.5387976303696633,0.168408203125,3.5184069385752084,0.7054738998413086,0.2,0.01206514,,
1836,100,10.77671032,994.2,184320,90,0.0003,-0.009070149442413822,0.3929334282875061,0.5804593563079834,890,-3.507845600694418,0.226904296875,0.8952912393026053,0.17021900415420532,0.2,0.01862112,,
1839,101,10.957057749999999,978.87,186368,91,0.0003,-0.006761247331451159,0.8314849138259888,0.5805821418762207,900,-3.4983873777091503,0.118408203125,16.73793978691101,1.0451689958572388,0.2,0.011462001,,
1841,102,14.647103329999998,989.24,188416,92,0.0003,-0.010470111432368867,0.5781566500663757,0.582275390625,910,-3.504242567718029,0.142626953125,26.54560576695949,1.5344880819320679,0.2,0.014221393,,
1843,103,16.035232769999997,989.24,190464,93,0.0003,-0.011858423551893793,0.6548492908477783,0.5749963521957397,920,-3.4821957997977733,0.20556640625,0.6903261651284993,0.21243272721767426,0.2,0.01682223,,
1845,104,17.405879659999997,989.24,192512,94,0.0003,-0.009684924072644208,0.7568157315254211,0.5704469084739685,930,-3.440427602827549,0.190234375,0.5456388387829065,0.2068462371826172,0.2,0.01423239,,
1847,105,18.78936937,989.24,194560,95,0.0003,-0.011595686692453455,0.8250248432159424,0.564551055431366,940,-3.39959474503994,0.206591796875,0.4968585138209164,0.24989590048789978,0.2,0.016881093,,
1849,106,17.454646029999996,964.14,196608,96,0.0003,-0.008944495605828707,0.9005177617073059,0.5624207258224487,950,-3.3786146461963655,0.1517578125,2.2905944850295783,1.4672300815582275,0.2,0.012482371,,
1851,107,20.14151024,964.14,198656,97,0.0003,-0.013256910112977494,0.8884385824203491,0.5620564222335815,960,-3.3697903737425805,0.1076171875,30.449878853559493,33.91958236694336,0.2,0.009492758,,
,,,,200000,,0.0003,-0.012059346266323701,0.6061092615127563,0.5552433133125305,970,-3.3425244465470314,0.15185546875,1.4198133582249284,0.2877309024333954,0.2,0.01528339,1205.2,173.90614274991677
1829,109,20.636316779999998,952.4,200704,98,,,,,,,,,,,,,
1831,110,22.077542819999998,952.4,202752,99,0.0003,-0.006690196922863834,0.8827702403068542,0.5522807836532593,980,-3.309549101442099,0.1455078125,4.297962593287229,2.524256944656372,0.2,0.012202606,,
1833,111,19.270061619999996,917.39,204800,100,0.0003,-0.00909855092759244,-0.4177405834197998,0.5439891815185547,990,-3.265325501561165,0.14951171875,2.1175777167081833,0.6613994836807251,0.2,0.014633425,,
1836,112,21.150583119999997,919.61,206848,101,0.0003,-0.008313489647116512,0.8479387760162354,0.542609453201294,1000,-3.230870412290096,0.04931640625,49.38368970155716,42.837589263916016,0.2,0.0063425642,,
1838,113,22.22485033,919.61,208896,102,0.0003,-0.011402212659595535,0.9189602732658386,0.5432747602462769,1010,-3.229040364921093,0.120849609375,23.3472129881382,4.926596641540527,0.2,0.010419767,,
1840,114,23.90345313,920.46,210944,103,0.0003,-0.00844753829878755,0.2920413017272949,0.5410546660423279,1020,-3.226070251315832,0.162841796875,1.6620700469240546,0.4248484969139099,0.2,0.013131043,,
1841,115,23.16912912,907.23,212992,104,0.0003,-0.007266896115470445,0.9403447508811951,0.5406429171562195,1030,-3.214090496301651,0.1171875,18.00761151574552,8.118358612060547,0.2,0.009476527,,
1844,116,22.05579399,891.83,215040,105,0.0003,-0.010276679514208808,0.8343510031700134,0.5408986806869507,1040,-3.2138545401394367,0.106884765625,36.786588590592146,30.990421295166016,0.2,0.010298038,,
1846,117,21.05353026,877.2,217088,106,0.0003,-0.013775125296524493,0.7076970338821411,0.5396553874015808,1050,-3.2106241285800934,0.14521484375,24.37028236016631,20.93789291381836,0.2,0.010706738,,
1847,118,21.11974422,871.17,219136,107,0.0003,-0.009960736719949636,0.934042751789093,0.5413351655006409,1060,-3.2108510859310626,0.14072265625,6.5413962110877035,0.6490074992179871,0.2,0.012089003,,
1849,119,21.855560219999997,871.17,221184,108,0.0003,-0.009020120940112975,0.962433397769928,0.5401039719581604,1070,-3.2113506093621256,0.18564453125,6.428369542025029,3.4990742206573486,0.2,0.014098409,,
1851,120,24.86036294,885.2,223232,109,0.0003,-0.007696685535483994,-0.10071420669555664,0.5286828279495239,1080,-3.1574953816831113,0.20966796875,1.9646764353848993,0.6968422532081604,0.2,0.026531845,,
,,,,225000,,0.0003,-0.006102634340641089,0.5863505601882935,0.5215989947319031,1090,-3.092557703703642,0.217919921875,0.4792336941696703,0.12469726800918579,0.2,0.019848388,1500.2,275.54483075747265
1826,123,25.05950204,882.09,225280,110,,,,,,,,,,,,,
1828,124,22.04045258,855.83,227328,111,0.0003,-0.006649279287375976,0.9228180050849915,0.5209577679634094,1100,-3.064018841087818,0.1697265625,5.266522527299822,2.91449236869812,0.2,0.016437793,,
1830,125,23.20757477,854.65,229376,112,0.0003,-0.007941000543360133,0.8902749419212341,0.5207995176315308,1110,-3.0621893338859083,0.07294921875,27.85882664769888,18.83961296081543,0.2,0.008536268,,
1832,126,25.88017603,867.03,231424,113,0.0003,-0.006958835715340683,0.8629435300827026,0.5170938968658447,1120,-3.050454577803612,0.1720703125,15.944879169017076,1.5585004091262817,0.2,0.015331343,,
1834,127,31.393865210000005,887.37,233472,114,0.0003,-0.006222320998494979,0.8667022585868835,0.5149403810501099,1130,-3.0266288883984087,0.229736328125,0.5840359500143677,0.12595577538013458,0.2,0.016439842,,
1835,128,33.012569320000004,892.97,235520,115,0.0003,-0.009462592273484916,0.6514946222305298,0.5053389668464661,1140,-2.9715872310101985,0.2021484375,0.5140782059170306,0.2075115591287613,0.2,0.018294308,,
1837,129,35.09386345,897.81,237568,116,0.0003,-0.006216054825927131,0.8835189938545227,0.5063920021057129,1150,-2.943672423064709,0.154541015625,19.793000961933284,0.5093725323677063,0.2,0.013216089,,
1838,130,38.418466120000005,913.27,239616,117,0.0003,-0.014506012106721755,0.6373394727706909,0.49926048517227173,1160,-2.9239918567240237,0.22509765625,0.5200433473102748,0.17629164457321167,0.2,0.018754877,,
1840,131,40.67878173,915.22,241664,118,0.0003,-0.008078483161807527,0.8375693559646606,0.4938892722129822,1170,-2.864226011186838,0.18994140625,0.6157353431917727,0.22459426522254944,0.2,0.014509475,,
1842,132,44.25817063,929.94,243712,119,0.0003,-0.009428793168626725,0.9015101790428162,0.4944334030151367,1180,-2.848121890425682,0.088818359375,20.481861904263496,6.171863555908203,0.2,0.008070052,,
1843,133,47.482615370000005,942.85,245760,120,0.0003,-0.007309752743458376,0.9087914228439331,0.4937087297439575,1190,-2.8500987187027933,0.08212890625,12.221274864301085,1.5657541751861572,0.2,0.010264091,,
1845,134,50.71454119999999,955.99,247808,121,0.0003,-0.008727271333918906,0.43257957696914673,0.48947224020957947,1200,-2.827863794565201,0.185400390625,1.1959925065748394,0.5462108254432678,0.2,0.016780687,,
1847,135,53.83835155999999,968.95,249856,122,0.0003,-0.00478730243848986,0.8309298157691956,0.48697635531425476,1210,-2.8035533018410206,0.154052734375,11.310570391174405,0.7566720843315125,0.2,0.017281752,,
