rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss
984.84,54,124928,61,2276,984.82,600,-17.805408477783203,0.2,0.005700722,0.0031138674123212693,-0.015247938223183155,6.40637509491171e-05,0.0003,0.4248819351196289,0.0431640625,-0.5740047199651599
984.84,55,126976,62,2279,984.82,610,-21.594165802001953,0.2,0.005875167,0.0008450394831015729,0.015313689596951008,1.3176271210113554e-06,0.0003,0.413845956325531,0.049755859375,-0.5508682984858752
984.84,56,129024,63,2282,984.82,620,-18.073774337768555,0.2,0.007822209,0.0026028250067611225,0.015092799440026283,1.063771097165045e-06,0.0003,0.4010588526725769,0.051220703125,-0.5186065604910255
984.84,57,131072,64,2285,984.82,630,-17.26726722717285,0.2,0.0094050225,0.0012883973628049715,0.016456468030810356,1.6467195905534026e-06,0.0003,0.38831913471221924,0.061669921875,-0.4891226474195719
984.84,58,133120,65,2283,984.82,640,-24.841846466064453,0.2,0.005749814,0.0025009473341924605,-0.016240175813436508,5.97941441213834e-05,0.0003,0.3821060061454773,0.043896484375,-0.4642456205561757
984.84,59,135168,66,2284,984.82,650,-21.504135131835938,0.2,0.004841808,0.0019310753283207304,0.021581077948212624,2.2794863042463475e-06,0.0003,0.370596706867218,0.048291015625,-0.4418882539495826
984.84,60,137216,67,2286,984.82,660,-15.988985061645508,0.2,0.005737217,0.00302535883456585,-0.006369938142597675,4.627444951665893e-06,0.0003,0.3658442795276642,0.0572265625,-0.4180712876841426
992.53,60,139264,68,2287,992.52,670,-26.45442008972168,0.2,0.010614693,0.000683322643453721,0.007750300224870443,3.932852990828906e-06,0.0003,0.3521462678909302,0.06845703125,-0.39262442775070666
1000.0,61,141312,69,2289,1000.0,680,-25.499013900756836,0.2,0.006787424,-0.00341061846120283,0.0035018869675695896,0.0002880843868695138,0.0003,0.334179550409317,0.05380859375,-0.3470236759632826
1000.0,62,143360,70,2289,1000.0,690,-0.7404597997665405,0.2,0.004700531,0.0030138634887407535,-0.0047533148899674416,3.3212174514574143e-06,0.0003,0.33030176162719727,0.08603515625,-0.3155755952000618
1000.0,63,145408,71,2291,1000.0,700,-1.814624547958374,0.2,0.005771354,0.0032968135841656477,0.0015605740481987596,4.979293123597017e-06,0.0003,0.32905685901641846,0.09150390625,-0.3085594117641449
1000.0,64,147456,72,2293,1000.0,710,-1.507554292678833,0.2,0.005249206,0.003555941862578038,-4.760386946145445e-05,2.6006339766126985e-06,0.0003,0.3275289833545685,0.06484375,-0.30598740093410015
1000.0,65,149504,73,2294,1000.0,720,-1.6267964839935303,0.2,0.010331179,0.002662087200587848,0.0006506919162347913,2.245129300604276e-06,0.0003,0.3204615116119385,0.0806640625,-0.29227132610976697
1000.0,66,151552,74,2295,1000.0,730,-2.663513422012329,0.2,0.0048331507,0.0007123726485588122,-0.005872537847608328,1.2086614873396684e-06,0.0003,0.3151111900806427,0.075390625,-0.27387621738016604
1000.0,66,153600,75,2297,1000.0,740,-3.066554069519043,0.2,0.0016640249,0.002330377360340208,0.003560948185622692,1.6346642408393563e-05,0.0003,0.31143444776535034,0.0708984375,-0.25595315620303155
1000.0,67,155648,76,2298,1000.0,750,-5.698534965515137,0.2,0.0039312467,0.00031803055317141115,0.0016752945957705379,1.3041159886029163e-05,0.0003,0.3054676353931427,0.049755859375,-0.24418242312967778
1000.0,68,157696,77,2301,1000.0,760,-8.618971824645996,0.2,0.0066661644,0.0027203793462831525,0.00978812389075756,8.769141032871631e-07,0.0003,0.3003719449043274,0.097265625,-0.22391051128506662
1000.0,69,159744,78,2302,1000.0,770,-7.7023115158081055,0.2,0.0071511036,0.0014142785963485948,0.03142446652054787,4.134828762403231e-05,0.0003,0.2941541373729706,0.07060546875,-0.20687580294907093
1000.0,70,161792,79,2305,1000.0,780,-24.528879165649414,0.2,0.0075019337,0.00011994552914984524,-0.019779788330197334,7.221840348847763e-06,0.0003,0.2838771343231201,0.085986328125,-0.17690675482153892
1000.0,71,163840,80,2307,1000.0,790,-11.273355484008789,0.2,0.005942274,0.000844283121114131,-0.018897565081715584,4.68944612919131e-06,0.0003,0.2810388505458832,0.056396484375,-0.15413566827774047
1000.0,71,165888,81,2310,1000.0,800,-5.977436542510986,0.2,0.010937164,0.00014151599316392094,0.002403539838269353,1.668110040782267e-05,0.0003,0.27288055419921875,0.075537109375,-0.13380132876336576
1000.0,72,167936,82,2310,1000.0,810,-1.482254981994629,0.2,0.009415241,0.0012494806767790578,0.0034088308457285166,4.225019982015965e-05,0.0003,0.2719222605228424,0.10224609375,-0.11967018581926822
1000.0,73,169984,83,2311,1000.0,820,-1.6714987754821777,0.2,0.009316732,0.002212805154704256,0.0093301460146904,1.8473818755637693e-06,0.0003,0.26600074768066406,0.07490234375,-0.10413447245955468
1000.0,74,172032,84,2314,1000.0,830,-3.4625186920166016,0.2,0.0075115147,-8.458490920020268e-05,0.007031179964542389,3.178208885117329e-05,0.0003,0.26479125022888184,0.093994140625,-0.09215190559625626
1000.0,75,174080,85,2315,1000.0,840,-2.3943374156951904,0.2,0.004464554,0.002876326322439127,0.015145787969231606,9.457263558942941e-07,0.0003,0.25955235958099365,0.091064453125,-0.07896895632147789
1000.0,76,176128,86,2316,1000.0,850,-3.3270277976989746,0.2,0.0059242896,0.00038434348680311815,0.06458856910467148,0.0001189269876704202,0.0003,0.2556218206882477,0.083447265625,-0.06321420632302761
1000.0,76,178176,87,2315,1000.0,860,-6.234475612640381,0.2,0.006783534,0.0023363035637885333,-0.0007559746154583991,5.321341831177051e-07,0.0003,0.2537505328655243,0.1052734375,-0.050146347284317015
1000.0,77,180224,88,2316,1000.0,870,-7.033601760864258,0.2,0.0049135634,0.0014016493878443725,0.004393991082906723,3.134299106477556e-07,0.0003,0.24932603538036346,0.080126953125,-0.03646347746253013
