rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
-22.26901164,934.69,1056,2044,206728,101,0.05,0.00025,49181,0.6839405298233032
-21.24566169,942.09,1060,2040,209715,102,0.05,0.00025,49928,6.878971099853516
-20.9732261,937.21,1064,2037,212558,104,0.05,0.00025,50639,2.358696222305298
-22.470501239999997,954.33,1068,2030,216558,106,0.05,0.00025,51639,0.8057944774627686
-14.779689599999998,939.95,1072,2027,219120,108,0.05,0.00025,52279,1.342271327972412
-15.47164856,940.59,1076,2023,222305,109,0.05,0.00025,53076,0.5095197558403015
-11.901396350000002,932.45,1080,2019,225491,111,0.05,0.00025,53872,0.7089700698852539
-11.55318117,932.45,1084,2017,229491,113,0.05,0.00025,54872,1.8242828845977783
-10.31822921,923.21,1088,2016,232567,115,0.05,0.00025,55641,2.521390199661255
-7.819332310000001,918.71,1092,2014,236117,117,0.05,0.00025,56529,1.5663846731185913
-8.39946412,918.71,1096,2011,240117,119,0.05,0.00025,57529,3.714987277984619
-8.34753158,918.71,1100,2005,244117,121,0.05,0.00025,58529,0.8816823363304138
-10.050489770000002,910.22,1104,2001,247268,123,0.05,0.00025,59316,0.4201638698577881
-10.19652011,910.22,1108,1994,251268,126,0.05,0.00025,60316,0.41465163230895996
-10.18248474,910.22,1112,1991,255268,128,0.05,0.00025,61316,0.863844096660614
-10.147739369999998,910.22,1116,1989,259268,130,0.05,0.00025,62316,0.47387179732322693
-11.13281898,910.22,1120,1987,263268,132,0.05,0.00025,63316,0.3245110511779785
-10.170189089999997,910.22,1124,1983,267268,134,0.05,0.00025,64316,1.1935834884643555
-10.816770470000002,910.22,1128,1981,271268,136,0.05,0.00025,65316,0.3393433094024658
-9.715041560000001,910.22,1132,1978,275268,139,0.05,0.00025,66316,0.23806241154670715
-9.398422949999999,910.22,1136,1977,279268,141,0.05,0.00025,67316,0.2140710949897766
-9.093905059999999,910.22,1140,1976,283268,143,0.05,0.00025,68316,0.26970866322517395
-8.706635330000001,910.22,1144,1972,287268,145,0.05,0.00025,69316,1.7822184562683105
-7.51625542,916.17,1148,1969,291268,147,0.05,0.00025,70316,0.9310919046401978
-7.446083109999998,916.17,1152,1967,295268,150,0.05,0.00025,71316,0.1468125432729721
-2.56418945,925.4,1156,1964,299268,152,0.05,0.00025,72316,0.2019209861755371
-3.513430570000001,935.53,1160,1961,303268,154,0.05,0.00025,73316,0.13254639506340027
-3.23459297,947.1,1164,1959,307268,156,0.05,0.00025,74316,0.10083094239234924
-1.6554029900000007,947.1,1168,1956,311268,159,0.05,0.00025,75316,0.16547822952270508
-5.090843239999999,953.17,1172,1955,314437,160,0.05,0.00025,76109,0.12214168161153793
-3.594256229999999,952.38,1176,1955,317543,162,0.05,0.00025,76885,0.13157649338245392
-6.308258049999998,960.52,1180,1954,321543,164,0.05,0.00025,77885,0.0888623297214508
-6.327555229999998,960.52,1184,1953,325543,166,0.05,0.00025,78885,0.10391471534967422
-4.542926349999999,965.58,1188,1950,329125,168,0.05,0.00025,79781,0.10497357696294785
-4.709682,967.32,1192,1949,332849,170,0.05,0.00025,80712,0.4574480652809143
3.521008009999999,950.6,1196,1949,335177,171,0.05,0.00025,81294,0.8582944273948669
